법정동,영향 인자,shap_value,위험요인그룹
강남구_압구정동,3_10m_최다지층_풍화토층,0.11484951101376917,지반
강남구_압구정동,공사횟수,-0.09473686421552106,지하 공사
강남구_압구정동,지선_합류_대_분류,-0.08550451748238017,하수관
강남구_압구정동,전체_우세지층_매립토층,0.044474565849489056,지반
강남구_역삼동,공사횟수,0.7538952212089205,지하 공사
강남구_역삼동,지하철역_개수,0.5195317203242397,지하시설물
강남구_역삼동,평균최대굴착깊이,0.40965177627424043,지하 공사
강남구_역삼동,하수관로_지선분류식,0.3450809223117206,하수관
강남구_역삼동,하수관로_총시설연장,0.24878506407192516,하수관
강남구_역삼동,용량_대_면적,0.1893551935549698,하수관
강남구_역삼동,처리구역면적_합류식,0.11848754216397075,하수관
강남구_역삼동,처리구역면적_분류식,0.08084678880759923,하수관
강남구_역삼동,전체_우세지층_풍화토층,0.06191637250630368,지반
강남구_역삼동,시설용량,0.06179814690000737,하수관
강남구_율현동,하수관로_지선분류식,0.2544618740168861,하수관
강남구_율현동,지하철역_개수,-0.23007352665867975,지하시설물
강남구_율현동,용량_대_면적,0.22434002427809263,하수관
강남구_율현동,하수관로_총시설연장,0.2080057672237149,하수관
강남구_율현동,전체_우세지층_풍화토층,0.1826853573198485,지반
강남구_율현동,처리구역면적_분류식,0.14007922796164532,하수관
강남구_율현동,평균최대굴착깊이,-0.1370892530830244,지하 공사
강남구_율현동,공사횟수,-0.13287172573497383,지하 공사
강남구_율현동,지선_합류_대_분류,-0.05559052647284523,하수관
강남구_율현동,시설용량,0.050174919671833317,하수관
강남구_일원동,공사횟수,0.5878098546466363,지하 공사
강남구_일원동,지하철역_개수,0.4967118777652013,지하시설물
강남구_일원동,하수관로_지선분류식,0.2563493776857305,하수관
강남구_일원동,하수관로_총시설연장,0.2368645366854497,하수관
강남구_일원동,용량_대_면적,0.15825670617663878,하수관
강남구_일원동,처리구역면적_합류식,0.11380930285868149,하수관
강남구_일원동,전체_우세지층_풍화토층,0.09187745721780405,지반
강남구_일원동,시설용량,0.07780178858232852,하수관
강남구_일원동,처리구역면적_분류식,0.07263373739763516,하수관
강남구_일원동,3_10m_최다지층_풍화토층,0.041341601810290785,지반
강남구_자곡동,공사횟수,0.5446638244143178,지하 공사
강남구_자곡동,하수관로_지선분류식,0.3820423934106386,하수관
강남구_자곡동,하수관로_총시설연장,0.36893291874355155,하수관
강남구_자곡동,지하철역_개수,-0.2573770894311237,지하시설물
강남구_자곡동,처리구역면적_분류식,0.15163128383076102,하수관
강남구_자곡동,평균최대굴착깊이,0.14633922142996753,지하 공사
강남구_자곡동,용량_대_면적,0.1419647679714196,하수관
강남구_자곡동,전체_우세지층_풍화토층,0.11309500748472122,지반
강남구_자곡동,3_10m_최다지층_풍화토층,0.0800313196028295,지반
강남구_자곡동,전체_우세지층_매립토층,0.04255497651750346,지반
강남구_청담동,공사횟수,0.7959126004387478,지하 공사
강남구_청담동,지하철역_개수,0.5134829961684457,지하시설물
강남구_청담동,평균굴착용적,0.3947990368751779,지하 공사
강남구_청담동,하수관로_총시설연장,0.3543903044829544,하수관
강남구_청담동,평균최대굴착깊이,0.34128053860612134,지하 공사
강남구_청담동,하수관로_지선분류식,0.3313900786246386,하수관
강남구_청담동,용량_대_면적,0.17963156846520414,하수관
강남구_청담동,전체_우세지층_풍화토층,-0.15440824145340906,지반
강남구_청담동,처리구역면적_합류식,0.11848754216397075,하수관
강남구_청담동,처리구역면적_분류식,0.07071912635719242,하수관
강동구_강일동,전체_우세지층_풍화토층,-0.5023893905974752,지반
강동구_강일동,지하철역_개수,-0.2609505235261978,지하시설물
강동구_강일동,평균최대굴착깊이,-0.22029877104860057,지하 공사
강동구_강일동,용량_대_면적,0.21198323330845403,하수관
강동구_강일동,처리구역면적_분류식,0.16591011296302155,하수관
강동구_강일동,하수관로_지선분류식,0.13893153018344115,하수관
강동구_강일동,공사횟수,-0.13614429399031366,지하 공사
강동구_강일동,시설용량,0.10921585236551527,하수관
강동구_강일동,하수관로_총시설연장,-0.057170468492749336,하수관
강동구_강일동,3_10m_최다지층_풍화토층,-0.040781449748090615,지반
강동구_고덕동,지하철역_개수,0.31887085335901005,지하시설물
강동구_고덕동,평균최대굴착깊이,0.2964161724859365,지하 공사
강동구_고덕동,용량_대_면적,0.23087007610740126,하수관
강동구_고덕동,하수관로_지선분류식,0.1751631591036587,하수관
강동구_고덕동,지선_합류_대_분류,-0.12362938618353436,하수관
강동구_고덕동,처리구역면적_분류식,0.12350213787412921,하수관
강동구_고덕동,처리구역면적_합류식,-0.09941546529914737,하수관
강동구_고덕동,시설용량,0.08154670125433287,하수관
강동구_고덕동,3_10m_최다지층_풍화토층,0.07615979322123047,지반
강동구_고덕동,공사횟수,-0.07372287865978569,지하 공사
강동구_길동,공사횟수,0.5819704920107752,지하 공사
강동구_길동,지하철역_개수,0.34540088404662833,지하시설물
강동구_길동,평균최대굴착깊이,0.33461490883011696,지하 공사
강동구_길동,하수관로_지선분류식,0.2645386938734155,하수관
강동구_길동,용량_대_면적,0.1325916027549091,하수관
강동구_길동,처리구역면적_합류식,-0.08782155229539185,하수관
강동구_길동,하수관로_총시설연장,0.08044084585913469,하수관
강동구_길동,시설용량,0.07171400460745614,하수관
강동구_길동,전체_우세지층_풍화토층,0.06531878880247542,지반
강동구_길동,처리구역면적_분류식,0.04719680949200319,하수관
강동구_둔촌동,지하철역_개수,0.4384777163012248,지하시설물
강동구_둔촌동,평균최대굴착깊이,0.35757478276820365,지하 공사
강동구_둔촌동,용량_대_면적,0.25323947272637537,하수관
강동구_둔촌동,하수관로_지선분류식,0.1680652298027763,하수관
강동구_둔촌동,지선_합류_대_분류,-0.12464168895421596,하수관
강동구_둔촌동,시설용량,0.1023215228228613,하수관
강동구_둔촌동,처리구역면적_합류식,-0.09941546529914737,하수관
강동구_둔촌동,공사횟수,-0.08012401312854875,지하 공사
강동구_둔촌동,전체_우세지층_풍화토층,0.06850512035904895,지반
강동구_둔촌동,처리구역면적_분류식,0.0674420628029902,하수관
강동구_명일동,공사횟수,0.6304960653765873,지하 공사
강동구_명일동,평균최대굴착깊이,0.4835385729042351,지하 공사
강동구_명일동,지하철역_개수,0.4473774158371493,지하시설물
강동구_명일동,하수관로_지선분류식,0.30939710948619104,하수관
강동구_명일동,용량_대_면적,0.14596930362607516,하수관
강동구_명일동,처리구역면적_합류식,-0.08428434696700239,하수관
강동구_명일동,하수관로_총시설연장,0.06714859790810446,하수관
강동구_명일동,전체_우세지층_풍화토층,0.06531878880247542,지반
강동구_명일동,시설용량,0.06245031535696235,하수관
강동구_명일동,처리구역면적_분류식,0.050281671611605364,하수관
강동구_상일동,지하철역_개수,0.42365203712646554,지하시설물
강동구_상일동,평균굴착용적,0.41273766500722836,지하 공사
강동구_상일동,평균최대굴착깊이,0.2536334205050323,지하 공사
강동구_상일동,용량_대_면적,0.24866057733677066,하수관
강동구_상일동,하수관로_지선분류식,0.15211046272673212,하수관
강동구_상일동,지선_합류_대_분류,-0.1274438365263047,하수관
강동구_상일동,처리구역면적_합류식,-0.09941546529914737,하수관
강동구_상일동,시설용량,0.08836386045265512,하수관
강동구_상일동,공사횟수,-0.07813421206141309,지하 공사
강동구_상일동,처리구역면적_분류식,0.07124883122472868,하수관
강동구_성내동,공사횟수,0.6534002213130847,지하 공사
강동구_성내동,평균최대굴착깊이,0.5339086756584422,지하 공사
강동구_성내동,지하철역_개수,0.4904040323857666,지하시설물
강동구_성내동,하수관로_지선분류식,0.3093883091042447,하수관
강동구_성내동,전체_우세지층_풍화토층,-0.17799995964473198,지반
강동구_성내동,용량_대_면적,0.13093086459076275,하수관
강동구_성내동,처리구역면적_합류식,-0.08428434696700239,하수관
강동구_성내동,하수관로_총시설연장,0.07827780283418793,하수관
강동구_성내동,시설용량,0.063891801542114,하수관
강동구_성내동,처리구역면적_분류식,0.05599999872098301,하수관
강동구_암사동,지하철역_개수,0.3235917653772229,지하시설물
강동구_암사동,용량_대_면적,0.24140031506253615,하수관
