법정동,위험요인그룹,shap_value
강남구_개포동,지반,0.2703401178804603
강남구_개포동,침수,-0.009270687807992723
강남구_개포동,지하 공사,1.3319420075890847
강남구_개포동,하수관,1.1436540953945853
강남구_개포동,지하시설물,-0.2380741380430943
강남구_논현동,지반,0.15998949686258737
강남구_논현동,침수,-0.013233039144362685
강남구_논현동,지하 공사,1.0188160926739531
강남구_논현동,하수관,1.0545590790489225
강남구_논현동,지하시설물,0.5207962921475741
강남구_대치동,지반,0.16339191315875912
강남구_대치동,침수,-0.016539451485787414
강남구_대치동,지하 공사,0.9649662844637243
강남구_대치동,하수관,1.079090777323035
강남구_대치동,지하시설물,0.5241987084437458
강남구_도곡동,지반,0.18184211048257015
강남구_도곡동,침수,-0.014203377752288741
강남구_도곡동,지하 공사,0.5750432999237897
강남구_도곡동,하수관,0.9187522737798953
강남구_도곡동,지하시설물,0.4967118777652013
강남구_삼성동,지반,0.1505601837404623
강남구_삼성동,침수,-0.013607541193491496
강남구_삼성동,지하 공사,1.2978437464394708
강남구_삼성동,하수관,1.02877917596902
강남구_삼성동,지하시설물,0.5048461878413882
강남구_세곡동,지반,0.3375156020489666
강남구_세곡동,침수,-0.0026760308531643007
강남구_세곡동,지하 공사,-0.27772923569674357
강남구_세곡동,하수관,0.9756758253513635
강남구_세곡동,지하시설물,-0.22307071479772766
강남구_수서동,지반,0.12455500795598984
강남구_수서동,침수,-0.013571002746792099
강남구_수서동,지하 공사,1.1716309864047616
강남구_수서동,하수관,1.1264442860491022
강남구_수서동,지하시설물,0.40243823013314983
강남구_신사동,지반,0.15998949686258737
강남구_신사동,침수,-0.016510002062891323
강남구_신사동,지하 공사,0.9159035791493835
강남구_신사동,하수관,1.0625590723413456
강남구_신사동,지하시설물,0.5207962921475741
강남구_압구정동,지반,0.3836286848418275
강남구_압구정동,침수,-0.0028082476703159154
강남구_압구정동,지하 공사,-0.10152157379343664
강남구_압구정동,하수관,0.8872783172626578
강남구_압구정동,지하시설물,-0.2603229728001904
강남구_역삼동,지반,0.15806990753060177
강남구_역삼동,침수,-0.013233039144362685
강남구_역삼동,지하 공사,1.1580018625160549
강남구_역삼동,하수관,1.044777471576468
강남구_역삼동,지하시설물,0.5195317203242397
강남구_율현동,지반,0.22272031671725112
강남구_율현동,침수,-0.0026760308531643007
강남구_율현동,지하 공사,-0.2804004678426764
강남구_율현동,하수관,0.8778759622520041
강남구_율현동,지하시설물,-0.23007352665867975
강남구_일원동,지반,0.18184211048257015
강남구_일원동,침수,-0.014203377752288741
강남구_일원동,지하 공사,0.5899060956314036
강남구_일원동,하수관,0.9073196814224915
강남구_일원동,지하시설물,0.4967118777652013
강남구_자곡동,지반,0.2940069677525512
강남구_자곡동,침수,-0.010727197007314657
강남구_자곡동,지하 공사,0.6799248320032558
강남구_자곡동,하수관,1.1666053152498008
강남구_자곡동,지하시설물,-0.2573770894311237
강남구_청담동,지반,-0.14557305453721586
강남구_청담동,침수,-0.010907229439061101
강남구_청담동,지하 공사,1.531992175920047
강남구_청담동,하수관,1.1067161320131018
강남구_청담동,지하시설물,0.5134829961684457
강동구_강일동,지반,-0.5272460651449654
강동구_강일동,침수,-0.005952215582276519
강동구_강일동,지하 공사,-0.3688781378143843
강동구_강일동,하수관,0.5802667146166929
강동구_강일동,지하시설물,-0.2609505235261978
강동구_고덕동,지반,0.14958333245502262
강동구_고덕동,침수,-0.026340455768335963
강동구_고덕동,지하 공사,0.21623488916428252
강동구_고덕동,하수관,0.43264252171155426
강동구_고덕동,지하시설물,0.31887085335901005
강동구_길동,지반,0.05735319355470321
강동구_길동,침수,-0.032328357037596345
강동구_길동,지하 공사,0.9100648281368624
강동구_길동,하수관,0.4890830528977852
강동구_길동,지하시설물,0.34540088404662833
강동구_둔촌동,지반,0.028369498412223748
강동구_둔촌동,침수,-0.0263417484546144
강동구_둔촌동,지하 공사,0.27093019693562514
강동구_둔촌동,하수관,0.38556011881900293
강동구_둔촌동,지하시설물,0.4384777163012248
강동구_명일동,지반,0.040327389915942286
강동구_명일동,침수,-0.03232706435131791
강동구_명일동,지하 공사,1.1075140655767926
강동구_명일동,하수관,0.5325639023181945
강동구_명일동,지하시설물,0.4473774158371493
강동구_상일동,지반,0.015027590761040856
강동구_상일동,침수,-0.023401456452236735
강동구_상일동,지하 공사,0.5882368734508476
강동구_상일동,하수관,0.3620728792880754
강동구_상일동,지하시설물,0.42365203712646554
강동구_성내동,지반,-0.19143071486459803
강동구_성내동,침수,-0.032328357037596345
강동구_성내동,지하 공사,1.1803020310018097
강동구_성내동,하수관,0.5369971036409377
강동구_성내동,지하시설물,0.4904040323857666
강동구_암사동,지반,0.17718784168730817
강동구_암사동,침수,-0.024549077957199142
강동구_암사동,지하 공사,-0.3589579936828308
강동구_암사동,하수관,0.3876264411672478
강동구_암사동,지하시설물,0.3235917653772229
강동구_천호동,지반,0.09455300584874848
강동구_천호동,침수,-0.03232706435131791
강동구_천호동,지하 공사,0.8195401758827784
강동구_천호동,하수관,0.5368821021789794
강동구_천호동,지하시설물,0.45675161328258357
강북구_미아동,지반,0.14782698392121962
강북구_미아동,침수,-0.04889298031049285
강북구_미아동,지하 공사,0.24530283904803354
강북구_미아동,하수관,-0.1522509369879782
강북구_미아동,지하시설물,0.6366584144180273
강북구_번동,지반,-0.566621975088643
강북구_번동,침수,-0.012315313899184168
강북구_번동,지하 공사,0.02384372427965608
강북구_번동,하수관,0.3336594902706318
강북구_번동,지하시설물,-0.38128556795504664
강북구_수유동,지반,0.25362106101666226
